OBJECTID,CSA2010,mort44_11,mort44_12,mort44_13,mort44_14,mort44_15,mort44_16,mort44_17,mort44_18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,41.89016603,39.8467433,29.62962963,35.24904215,37.80332056,43.42273308,45.46615581,50.57471264,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,24.03846154,19.83173077,13.82211538,15.02403846,23.4375,23.4375,26.44230769,31.25,37524.9505333862,47882527.7112373
3,Belair-Edison,30.14416776,26.21231979,22.28047182,27.08606378,31.45478375,29.70729576,35.38663172,34.94975972,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,36.52540389,34.65230625,27.15991571,34.65230625,33.24748303,31.8426598,34.18403184,36.05712948,150987.70363871,176077742.748461
5,Canton,2.795248078,3.261122758,2.795248078,5.124621477,4.658746797,5.124621477,4.658746797,6.056370836,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,27.75208141,28.67715079,22.81837805,27.13536849,28.98550725,30.83564601,32.06907185,31.45235893,39962.5498346887,71541340.306082
7,Cherry Hill,47.15530497,47.15530497,33.82880574,35.87903639,34.85392107,38.95438237,33.82880574,34.85392107,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,18.2731841,18.2731841,13.70488808,18.2731841,20.10050251,19.18684331,17.3595249,20.10050251,21705.411630324,21022590.1303212
9,Claremont/Armistead,19.41747573,19.41747573,16.8847615,17.72899958,20.2617138,22.79442803,23.6386661,27.85985648,40104.4159801772,61243774.4204004
10,Clifton-Berea,66.75687866,59.53991881,48.71447903,55.93143888,55.93143888,52.32295895,48.71447903,47.81235904,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,2.579812964,5.804579168,3.224766204,2.579812964,6.449532409,9.029345372,14.1889713,15.47887778,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,19.93355482,19.93355482,18.27242525,23.25581395,24.91694352,23.25581395,19.93355482,18.27242525,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,33.30866025,28.86750555,22.2057735,28.86750555,33.30866025,36.26943005,38.4900074,41.4507772,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,22.03182375,15.2998776,8.567931457,13.46389229,14.6878825,15.91187271,18.35985312,18.97184823,21565.8593945388,20736554.4071934
15,Edmondson Village,39.71962617,35.04672897,28.03738318,30.37383178,37.38317757,37.38317757,43.22429907,51.40186916,21504.5513578719,23563061.0426838
16,Fells Point,7.697241822,8.552490913,6.84199273,6.414368185,8.124866367,7.697241822,6.84199273,8.552490913,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,27.86242926,24.3796256,15.67261646,21.76752286,28.73313017,27.86242926,30.474532,36.5694384,36886.899781185,37200535.0297002
18,Glen-Fallstaff,13.87283237,23.12138728,17.34104046,16.76300578,22.5433526,24.27745665,22.5433526,23.12138728,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,10.7398568,11.53540175,10.7398568,11.53540175,14.71758154,15.11535402,15.91089897,18.69530628,26454.2692113378,27051213.4555493
20,Greater Govans,29.93793355,29.20774005,23.36619204,30.66812705,28.47754655,29.20774005,27.74735305,31.39832055,22982.1257150065,22698495.7172767
21,Greater Mondawmin,41.015625,38.0859375,29.296875,39.0625,44.921875,51.7578125,50.78125,43.9453125,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,3.220611916,2.147074611,2.147074611,4.294149222,4.294149222,6.441223833,4.294149222,8.588298443,39862.7497953315,56688145.179702
23,Greater Rosemont,52.5948336,46.07865953,38.16616244,47.00954154,46.54410054,47.47498255,54.45659763,59.11100768,32559.0762212062,42204384.5422658
24,Greenmount East,54.05405405,48.42342342,41.66666667,45.04504505,47.2972973,52.92792793,54.05405405,57.43243243,20797.473457859,19072287.8238042
25,Hamilton,19.37567277,16.6846071,10.22604952,17.22282024,16.6846071,18.2992465,22.60495156,24.75780409,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,17.91936287,19.91040319,16.92384271,18.91488303,18.91488303,19.91040319,19.91040319,23.89248382,18552.4075815481,10215859.0840198
27,Harford/Echodale,18.59712957,16.97998787,15.36284617,17.78855872,16.57570245,16.57570245,17.78855872,18.59712957,40019.1854001864,65360039.1701278
28,Highlandtown,11.13716295,10.55099648,8.206330598,10.55099648,12.3094959,12.3094959,15.24032825,12.3094959,14976.1238513953,11684191.1190149
