OBJECTID,CSA2010,vio10,vio11,vio12,vio13,vio15,vio16,vio17,vio18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,4.97,5.296343001,3.330932661,3.484195402,2.367491166,2.296819788,4.148356477,4.53506767445948,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,2,3.076923077,1.278132815,1.44484579,1.82876143,4.183984483,2.743902439,3.15964523281596,37524.9505333862,47882527.7112373
3,Belair-Edison,2.22,3.176620076,2.63827082,2.509928515,1.302621128,3.065925338,5.322529393,4.21035907213218,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,3.74,4.273303592,3.125,4.135338346,3.549600376,2.797367184,4.582843713,5.94594594594594,150987.70363871,176077742.748461
5,Canton,0.6,0.398307194,0.49689441,0.820079523,0.743126084,0.8917513,0.792471521,0.866765725606736,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,1.6,2.607313196,1.049952275,1.764705882,1.653418124,1.494435612,2.701843611,2.46344564526382,39962.5498346887,71541340.306082
7,Cherry Hill,2.94,5.177664975,2.436548223,3.353658537,2.639593909,1.827411168,4.873096447,5.58375634517766,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,2.34,3.831845238,2.937895128,2.900706582,1.56133829,1.672862454,2.342007435,2.15613382899628,21705.411630324,21022590.1303212
9,Claremont/Armistead,3.31,2.781456954,3.624161074,3.058510638,0.434782609,0.304347826,0.965759438,0.746268656716418,40104.4159801772,61243774.4204004
10,Clifton-Berea,11.33,12.72077376,11.81933305,13.95299598,3.279395901,3.77562028,9.151593454,7.213608957795,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,0.41,0.582590816,0.307692308,0.512820513,0.855871277,0.787401575,0.855871277,0.342348510783978,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,4.5,5.015673981,1.572327044,2.173913043,2.786377709,5.572755418,2.795031056,4.96894409937888,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,2.51,2.455422391,1.842644048,2.803738318,3.744880047,4.271503803,6.465769456,4.38853130485664,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,7.16,11.34328358,9.023668639,12.74074074,7.593123209,6.733524355,8.895265423,8.03443328550932,21565.8593945388,20736554.4071934
15,Edmondson Village,3.83,6.172839506,1.588983051,1.765536723,2.014846235,3.322728879,5.019441499,4.98409331919406,21504.5513578719,23563061.0426838
16,Fells Point,2.05,1.915050331,1.34936212,1.642156863,1.782661783,1.48962149,1.966426859,1.96642685851318,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,5.06,5.102395002,4.619659604,6.488549618,4.4081916,4.720583131,6.555671176,7.18002081165452,36886.899781185,37200535.0297002
18,Glen-Fallstaff,1.06,1.302578019,1.356852103,1.383613673,2.978608178,1.895477931,3.630452452,2.0590625846654,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,3.59,6.31292517,8.428184282,9.285327558,3.890221156,2.851052491,5.616183125,6.78733031674208,26454.2692113378,27051213.4555493
20,Greater Govans,3.17,4.450402145,2.41416309,4.66613033,2.679528403,3.885316184,5.623995715,6.82913765399035,22982.1257150065,22698495.7172767
21,Greater Mondawmin,4.86,5.49898167,4.807692308,6.610366919,3.36749634,3.83601757,6.061493411,6.82284040995607,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,0.53,0.82781457,0.893743793,0.860072775,0.364117842,0.297914598,0.463422708,0.860642171466401,39862.7497953315,56688145.179702
23,Greater Rosemont,5.57,6.988352745,6.050911114,7.607481854,2.748177229,4.472798654,8.720112518,9.0295358649789,32559.0762212062,42204384.5422658
24,Greenmount East,15.51,19.15830683,23.20768662,27.11864407,4.377020642,6.714747575,10.7550919,7.30253353204172,20797.473457859,19072287.8238042
25,Hamilton,1.56,2.060911381,1.373626374,1.968864469,1.212814645,1.624713959,2.24513173,2.42840778923253,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,2.76,2.507836991,2.654867257,6.666666667,3.703703704,2.199074074,3.587962963,2.08333333333333,18552.4075815481,10215859.0840198
27,Harford/Echodale,1.48,1.863230922,1.941747573,2.23585279,1.387512389,2.021803766,1.960007919,1.74222926153236,40019.1854001864,65360039.1701278
28,Highlandtown,1.36,1.420454545,1.799242424,3.313348059,1.764705882,1.424148607,2.464571781,2.06407886629698,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,2.59,2.2172949,2.090592334,3.040861577,3.049555273,5.273189327,4.99522749,3.37257397391027,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,0.36,1.147292053,0.958144226,1.293248236,0.450075013,0.966827805,0.300450676,0.550826239359038,43415.0595477941,24995836.2620936
31,Lauraville,1.25,2.056325436,1.339883877,2.478231748,2.548625084,3.085177733,2.93064877,2.39373601789709,34419.6765281197,49665744.2382935
32,Loch Raven,1.37,2.245862884,2.552588041,2.788938785,1.443445338,1.490771415,1.798816568,2.03550295857988,29314.3346718106,44147812.3259686
33,Madison/East End,3.73,3.918722787,4.607721046,5.83693638,2.912019827,3.531598513,8.815341788,7.26879059696876,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,1.32,2.374239501,1.634958383,2.163924707,1.806526807,1.311188811,2.111547983,2.38823358089413,43152.6256992199,62441489.2397897
35,Midtown,5.25,5.117270789,6.266394637,8.63372093,3.472022956,2.725968436,4.260794967,2.54503860451815,25020.0969697781,23823949.929494
36,Midway/Coldstream,6.97,9.012256669,7.516261142,8.7512054,4.434697856,5.726120858,7.775061125,8.11735941320293,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,2.53,2.698412698,1.617507136,2.663284718,1.428118058,1.142494446,3.140862944,2.37944162436548,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,0.05,0.439077936,0.328407225,0.492610837,0.760456274,0.543183053,0.488864747,0.651819663226507,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,0.98,1.295896328,1.375515818,1.099764336,0.352526439,0.548374461,1.25367287,0.705190989226248,42904.2221443837,74923987.6939622
40,Northwood,0.96,1.605995717,1.306489612,2.528390829,2.16505895,1.800643087,2.939283416,3.60437674318815,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,4.92,6.013986014,7.692307692,12.52595156,3.276539974,5.307994758,12.10153483,5.37190082644628,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,1.11,2.051866629,1.351724138,2.648275862,2.208365809,1.558846454,2.413879809,2.01156650741765,47825.8629265765,89894372.2114828
43,Patterson Park North & East,2.21,1.796124153,1.714105992,2.906520031,1.642421398,1.908337244,2.908522283,2.97107114933541,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,8.1,9.811827957,11.10738255,15.63233814,4.253904952,4.021269525,7.45176314,7.61809713905522,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,4.32,6.537102473,5.888324873,6.839562675,4.509147127,2.911620716,6.112973949,6.91256125870518,24725.9340693497,30400962.0052273
